texte,label_fluting,label_pm2_kraft,label_pm2_kraft_export,label_pm3_fluting,label_sotikraft,label_test_color,label_testliner
agent collage asa [contexte: ],0,1,1,0,0,0,0
agent de collage [contexte: ],0,0,0,0,1,1,1
biocide ratio [contexte: ],1,1,1,1,1,1,1
defoamer 1 (afranil) [contexte: ],1,1,1,1,1,1,1
defoamer 2 (erol) [contexte: ],0,0,0,1,1,1,1
fiber ratio [contexte: ],1,1,1,1,1,1,1
flocon pulp ratio [contexte: ],0,1,1,0,0,0,0
krofta polymer ratio [contexte: ],1,1,1,1,1,1,1
pac [contexte: ],0,0,0,0,1,1,1
prestige cleaning aids ratio (prestige) [contexte: ],1,1,1,0,0,0,0
pulp ratio [contexte: ],0,1,0,0,0,0,0
retention aids ratio [contexte: ],1,1,1,1,1,1,1
size press [contexte: ],0,0,0,0,0,1,0
standard pulp ratio [contexte: ],0,1,1,0,0,0,0
starch cationic ratio [contexte: ],1,1,1,1,1,1,1
starch oxidized ratio [contexte: ],1,0,0,0,1,0,0
wet end [contexte: ],0,0,0,0,1,1,0
waste paper ratio [contexte: ],1,1,0,1,1,1,1
size press [contexte: boucle de régulation],0,0,0,1,0,0,0
potentiel zeta [contexte: hydrocyclone],0,0,0,0,1,0,0
concentration de la pâte (consistance) [contexte: bac à eaux blanches],1,0,0,0,0,1,0
température de séchage [contexte: section des presses],0,0,0,0,1,0,0
biocide oxydant [contexte: zone de raffinage],0,0,0,0,0,0,0
polymère de rétention cationique [contexte: bac à eaux blanches],0,0,0,0,1,1,0
epaisseur (caliper) [contexte: section des presses],0,1,0,0,0,0,0
dispersant synthétique [contexte: boucle de régulation],1,1,0,1,0,0,0
colorant bleu direct [contexte: table de fabrication],0,1,0,0,0,1,0
colorant jaune basique [contexte: circuit court],0,0,0,0,0,0,0
amidon natif de maïs [contexte: circuit long],1,1,0,0,0,0,1
standard pulp ratio [contexte: pompe B],0,0,0,0,0,0,0
pâte recyclée (occ) [contexte: cuvier de mélange],0,0,0,0,0,0,0
agent de collage akd [contexte: circuit court],0,1,1,0,1,0,1
polymère de rétention cationique [contexte: zone de raffinage],0,1,1,0,1,0,1
dispersant synthétique [contexte: station de dosage],0,0,0,0,0,0,0
conductivité [contexte: section des presses],1,0,0,0,1,0,0
colorant rouge acide [contexte: cuvier machine],0,1,0,0,0,0,0
humidité finale [contexte: cuvier machine],0,0,0,0,0,0,0
pac [contexte: pompe de transfert],0,1,0,0,0,1,1
retention aids ratio [contexte: préparation de la pâte],0,0,1,1,0,0,1
flocon pulp ratio [contexte: circuit long],0,1,0,0,0,0,0
vitesse machine [contexte: pompe de transfert],0,0,0,0,0,1,0
agent de collage colophane [contexte: stockage intermédiaire],0,0,1,0,0,0,0
dioxyde de titane (tio2) [contexte: section des presses],0,0,1,0,0,0,0
conductivité [contexte: circuit court],1,1,0,0,0,1,0
blancheur iso [contexte: stockage intermédiaire],0,0,0,0,0,1,0
fongicide [contexte: pompe de transfert],0,0,0,1,1,1,0
pulp ratio [contexte: hydrocyclone],0,1,0,0,0,1,0
anti-mousse silicone [contexte: v2],0,0,0,0,0,1,0
kaolin calciné [contexte: préparation de la pâte],0,0,0,0,1,0,0
azurant optique (oba) [contexte: v2],0,0,0,1,0,0,1
soude caustique (naoh) [contexte: ligne principale],0,0,0,0,0,1,0
flocon pulp ratio [contexte: pompe A],0,0,0,1,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: préparation de la pâte],0,1,0,1,0,1,0
retention aids ratio [contexte: stockage intermédiaire],0,0,0,0,0,0,0
fongicide [contexte: circuit long],0,0,0,0,0,0,0
defoamer 1 (afranil) [contexte: cuvier de mélange],0,0,1,0,0,0,0
defoamer 2 (erol) [contexte: circuit court],1,1,0,0,0,1,1
demande chimique en oxygène (dco) [contexte: cuvier de cassés],0,0,1,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: section des presses],0,0,0,1,0,0,0
size press [contexte: zone aspirante],0,0,1,0,0,1,1
colorant bleu direct [contexte: bobineuse],0,0,0,0,0,0,0
fiber ratio [contexte: hydrocyclone],0,0,0,0,0,0,0
pâte kraft blanchie de feuillus (bhkp) [contexte: pompe A],0,0,1,0,0,0,1
pulp ratio [contexte: section des presses],0,0,0,0,1,0,0
